type habits,prix,adresse,image_lien
Chaussures Adidas pantalon,9000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5122595_uploaded_image1_1736216554.jpg
Lacoste homme,8000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125477_uploaded_image1_1736354339.jpg
Jacket en cuir,14000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125921_uploaded_image1_1736368741.jpg
Ensemble short et t-shirt,5000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5129420_uploaded_image1_1736548677.jpg
Jalabe,25000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130694_uploaded_image1_1736629706.jpg
Bas large homme,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5131117_uploaded_image1_1736677702.jpg
Vetement homme,15000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4601964_uploaded_image1_1708395686.jpg
Custume africain,30000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5138792_uploaded_image1_1737058114.jpg
Ensembles blouson,10000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5139741_uploaded_image1_1737118803.jpg
Pull unique,8500.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5147705_uploaded_image1_1737556553.jpg
Djalaba pour homme,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5105336_uploaded_image1_1735030845.jpg
Djialap pour homme,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104607_uploaded_image1_1734974719.jpg
Djialabé,10000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5232167_uploaded_image1_1741963999.jpg
T-shirts,5000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5396595_uploaded_image1_1751139172.jpg
Pulls,8000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291801_uploaded_image1_1745269197.jpg
Costume africaine,30000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528446_uploaded_image1_1758031889.jpg
Vetement homme,13000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4746909_uploaded_image1_1715866535.jpg
Ensemble 3 pièces,30000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323878_uploaded_image1_1747055928.jpg
Ensemble blouson,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5166796_uploaded_image1_1738580809.jpg
Chemise El-hadji bouton doré,20000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388857_uploaded_image1_1750706864.jpg
Ensemble Nike Tech Fleece,40000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5168364_uploaded_image1_1738628825.jpg
Lacostes homme,11000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5748678_uploaded_image1_1769718508.jpg
T-shirts,5000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5176044_uploaded_image1_1739005206.jpg
Lot de 3 débardeur,5000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130429_uploaded_image1_1736616495.jpg
Pull Over,8000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179844_uploaded_image1_1739225129.jpg
Polo Boss,4000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5180647_uploaded_image1_1739276033.jpg
Sous vetement coton,1500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5256503_uploaded_image1_1743271904.jpg
Chaussures homme,25000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5182989_uploaded_image1_1739389601.jpg
Vetements  homme,8000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4590100_uploaded_image1_1707744155.jpg
Pantalon  homme,7500.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5206275_uploaded_image1_1740684650.jpg
Boubous homme,850000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5186335_uploaded_image1_1739567861.jpg
Ensemble costume,55000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5246483_uploaded_image1_1742728129.jpg
Djellaba pour homme,15000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141181_uploaded_image1_1737203810.jpg
Jogging,7000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg
Pulls collant,5000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193321_uploaded_image1_1739977517.jpg
Djialabé,7000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5195658_uploaded_image1_1740079988.jpg
Abaya homme,7500.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5197736_uploaded_image1_1740211862.jpg
Djellaba,12000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5198746_uploaded_image1_1740258870.jpg
Combinaison homme,45000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5202402_uploaded_image1_1740483071.jpg
